algorithm,edge_group,split,dynamic_stage,value
BFS2Vec,doi_collectionSpecie,0.8,4th,0.16960056710039612
BFS2Vec,doi_collectionSite,0.8,1st,0.05403279745150327
BFS2Vec,doi_collectionSite,0.8,2nd,0.12309187390335527
BFS2Vec,doi_collectionSite,0.8,3rd,0.11680086536937917
BFS2Vec,doi_collectionSite,0.8,4th,0.06571583546281326
BFS2Vec,doi_collectionSite,0.8,1st,0.08094538503606563
BFS2Vec,doi_collectionSite,0.8,2nd,0.07801210719679116
BFS2Vec,doi_collectionSite,0.8,3rd,0.08577876293646086
BFS2Vec,doi_collectionSite,0.8,4th,0.11155594090118927
BFS2Vec,doi_collectionSite,0.8,1st,0.07014618327977891
BFS2Vec,doi_collectionSite,0.8,2nd,0.06752090244124467
BFS2Vec,doi_collectionSite,0.8,3rd,0.08744288375575766
BFS2Vec,doi_collectionSite,0.8,4th,0.11834152658669189
BFS2Vec,doi_collectionSite,0.8,1st,0.055501683913500174
BFS2Vec,doi_collectionSite,0.8,2nd,0.08314880178613827
BFS2Vec,doi_collectionSite,0.8,3rd,0.08382765958063694
BFS2Vec,doi_collectionSite,0.8,4th,0.12428452119692136
BFS2Vec,doi_collectionSite,0.8,1st,0.117368806925717
BFS2Vec,doi_collectionSite,0.8,2nd,0.06996621729581187
BFS2Vec,doi_collectionSite,0.8,3rd,0.08217741032046369
BFS2Vec,doi_collectionSite,0.8,4th,0.11005949044494978
BFS2Vec,doi_collectionSite,0.8,1st,0.0784739400418933
BFS2Vec,doi_collectionSite,0.8,2nd,0.07836586338659102
BFS2Vec,doi_collectionSite,0.8,3rd,0.08531880629649653
BFS2Vec,doi_collectionSite,0.8,4th,0.12172206161449306
BFS2Vec,doi_collectionSite,0.8,1st,0.07398690337047485
BFS2Vec,doi_collectionSite,0.8,2nd,0.09395368394525123
BFS2Vec,doi_collectionSite,0.8,3rd,0.08865482715312153
BFS2Vec,doi_collectionSite,0.8,4th,0.11737822483293978
BFS2Vec,doi_collectionSite,0.8,1st,0.07944668672318062
BFS2Vec,doi_collectionSite,0.8,2nd,0.06591765748563234
BFS2Vec,doi_collectionSite,0.8,3rd,0.09135745397152714
BFS2Vec,doi_collectionSite,0.8,4th,0.13857272171536397
BFS2Vec,doi_collectionSite,0.8,1st,0.10997859196825689
BFS2Vec,doi_collectionSite,0.8,2nd,0.06520088418417146
BFS2Vec,doi_collectionSite,0.8,3rd,0.09123876017487434
BFS2Vec,doi_collectionSite,0.8,4th,0.12643095108449084
BFS2Vec,doi_collectionSite,0.8,1st,0.05397309540061586
BFS2Vec,doi_collectionSite,0.8,2nd,0.07812573557525762
BFS2Vec,doi_collectionSite,0.8,3rd,0.0924864967353649
BFS2Vec,doi_collectionSite,0.8,4th,0.13201866868145215
BFS2Vec,doi_collectionType,0.8,1st,0.25889830508474576
BFS2Vec,doi_collectionType,0.8,2nd,0.29819277108433734
BFS2Vec,doi_collectionType,0.8,3rd,0.33809523809523806
BFS2Vec,doi_collectionType,0.8,4th,0.3641975308641975
BFS2Vec,doi_collectionType,0.8,1st,0.2655367231638418
BFS2Vec,doi_collectionType,0.8,2nd,0.3104938271604938
BFS2Vec,doi_collectionType,0.8,3rd,0.3583333333333333
BFS2Vec,doi_collectionType,0.8,4th,0.4172839506172839
BFS2Vec,doi_collectionType,0.8,1st,0.25607344632768364
BFS2Vec,doi_collectionType,0.8,2nd,0.38333333333333336
BFS2Vec,doi_collectionType,0.8,3rd,0.32212121212121203
BFS2Vec,doi_collectionType,0.8,4th,0.4404761904761904
BFS2Vec,doi_collectionType,0.8,1st,0.2627118644067796
BFS2Vec,doi_collectionType,0.8,2nd,0.2733739837398374
BFS2Vec,doi_collectionType,0.8,3rd,0.28918128654970754
BFS2Vec,doi_collectionType,0.8,4th,0.4321428571428571
BFS2Vec,doi_collectionType,0.8,1st,0.27570621468926554
BFS2Vec,doi_collectionType,0.8,2nd,0.3313008130081301
BFS2Vec,doi_collectionType,0.8,3rd,0.30877192982456136
BFS2Vec,doi_collectionType,0.8,4th,0.3133333333333333
BFS2Vec,doi_collectionType,0.8,1st,0.24505649717514125
BFS2Vec,doi_collectionType,0.8,2nd,0.29833333333333334
BFS2Vec,doi_collectionType,0.8,3rd,0.4154545454545454
BFS2Vec,doi_collectionType,0.8,4th,0.36234567901234566
BFS2Vec,doi_collectionType,0.8,1st,0.24392655367231642
BFS2Vec,doi_collectionType,0.8,2nd,0.3148373983739837
BFS2Vec,doi_collectionType,0.8,3rd,0.3315151515151515
BFS2Vec,doi_collectionType,0.8,4th,0.33888888888888885
BFS2Vec,doi_collectionType,0.8,1st,0.25734463276836156
BFS2Vec,doi_collectionType,0.8,2nd,0.2947791164658634
BFS2Vec,doi_collectionType,0.8,3rd,0.2796969696969696
BFS2Vec,doi_collectionType,0.8,4th,0.34691358024691354
BFS2Vec,doi_collectionType,0.8,1st,0.28672316384180807
BFS2Vec,doi_collectionType,0.8,2nd,0.2847222222222222
BFS2Vec,doi_collectionType,0.8,3rd,0.33245614035087717
BFS2Vec,doi_collectionType,0.8,4th,0.3104938271604938
BFS2Vec,doi_collectionType,0.8,1st,0.2637005649717514
BFS2Vec,doi_collectionType,0.8,2nd,0.27695473251028807
BFS2Vec,doi_collectionType,0.8,3rd,0.2895061728395061
BFS2Vec,doi_collectionType,0.8,4th,0.3438271604938271
